CommitId;RefactoringType;RefactoringDetail
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.internal.runners.statements.FailOnTimeoutTest moved to org.junit.internal.runners.statements.FailOnTimeoutTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.BlockJUnit4ClassRunnerOverrideTest moved to org.junit.rules.BlockJUnit4ClassRunnerOverrideTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.ClassRulesTest moved to org.junit.rules.ClassRulesTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.EventCollector moved to org.junit.rules.EventCollector
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.ExpectedExceptionTest moved to org.junit.rules.ExpectedExceptionTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.ExternalResourceRuleTest moved to org.junit.rules.ExternalResourceRuleTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.LoggingTestWatcher moved to org.junit.rules.LoggingTestWatcher
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.MethodRulesTest moved to org.junit.rules.MethodRulesTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.NameRulesTest moved to org.junit.rules.NameRulesTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.RuleChainTest moved to org.junit.rules.RuleChainTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.RuleMemberValidatorTest moved to org.junit.rules.RuleMemberValidatorTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TempFolderRuleTest moved to org.junit.rules.TempFolderRuleTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TemporaryFolderRuleAssuredDeletionTest moved to org.junit.rules.TemporaryFolderRuleAssuredDeletionTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TemporaryFolderUsageTest moved to org.junit.rules.TemporaryFolderUsageTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TestRuleTest moved to org.junit.rules.TestRuleTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TestWatcherTest moved to org.junit.rules.TestWatcherTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TestWatchmanTest moved to org.junit.rules.TestWatchmanTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.TimeoutRuleTest moved to org.junit.rules.TimeoutRuleTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.rules.VerifierRuleTest moved to org.junit.rules.VerifierRuleTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Rename Class;Rename Class	org.junit.tests.experimental.ExperimentalTests renamed to org.junit.tests.experimental.AllExperimentalTests
37a8aaba8a817b4bebbeebcd645d304601a0c8f0;Rename Class;Rename Class	org.junit.tests.experimental.categories.CategoriesAndParameterizedTest.VanillaCategorizedJUnitTest renamed to org.junit.tests.experimental.categories.CategoriesAndParameterizedTest.TestThatAvoidsNoTestRemainsException
61994e0c0aa768b43fad1ac6e35b1e43ffc8b142;Rename Method;Rename Method	public countWithParameterizedField() : void renamed to public providesDataByAnnotatedFields() : void in class org.junit.tests.running.classes.ParameterizedTestTest
b403288c9bf67e4989b7f3af5b8360828dcb8e94;Rename Method;Rename Method	public count() : void renamed to public countsRuns() : void in class org.junit.tests.running.classes.ParameterizedTestTest
3f0adeaf0a812cf88e76527b95c499e3ba99404e;Extract Method;Extract Method	private arrayEquals(message String, expecteds Object, actuals Object, outer boolean) : void extracted from public arrayEquals(message String, expecteds Object, actuals Object) : void in class org.junit.internal.ComparisonCriteria
